nome,genero,presenca_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,data_nascimento,gasto_total_par,gasto_total_gab,salario_bruto,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab
FRANCO CARTAFINA GOMES,M,86,3,3,44,4,15,03/11/1986,"318.135,20","1.112.857,76","33.763,00","28.065,10","33.009,58","43.304,17","52.088,32","45.119,68","34.699,31","22.247,15","51.692,11","5.409,62","2.332,94","167,22",-,"110.962,06","110.962,06","110.962,06","111.166,17","110.962,06","111.568,67","111.568,67","111.568,67","111.568,67","111.568,67",-,-
FLÁVIO RODRIGUES NOGUEIRA,M,91,1,0,39,0,4,27/02/1953,"395.772,41","1.106.884,69","33.763,00","38.329,27","41.835,51","39.604,13","42.494,03","37.048,37","47.068,00","42.082,62","36.727,61","36.484,39","34.098,48","0,00",-,"110.937,69","110.937,69","111.074,66","111.467,18","110.962,76","111.544,27","111.544,27","111.544,27","111.544,27","105.327,63",-,-
FLAVIANO FLÁVIO BAPTISTA DE MELO,M,82,10,0,3,0,1,17/11/1949,"438.870,21","1.104.480,65","33.763,00","34.282,68","37.155,36","51.227,13","79.405,70","29.713,90","25.480,53","38.048,40","39.592,10","54.822,12","29.142,29","20.000,00",-,"107.904,83","107.983,89","111.367,03","111.659,62","111.659,62","111.659,62","111.659,62","110.227,30","110.179,56","110.179,56",-,-
FERNANDO MONTEIRO DE ALBUQUERQUE,M,87,5,0,17,4,3,17/09/1976,"320.877,65","1.095.114,70","33.763,00","33.166,59","36.756,35","50.815,63","35.207,06","46.090,78","35.106,58","33.522,18","12.348,74","7.355,49","29.824,28","683,97",-,"111.665,62","111.462,42","111.451,57","111.665,62","108.833,71","111.665,62","111.665,62","110.146,43","102.361,66","104.196,43",-,-
ANTONIO RIBEIRO,M,86,6,0,30,4,14,03/03/1944,"361.696,70","1.106.146,52","33.763,00","40.812,78","41.699,11","53.527,13","53.135,08","42.212,73","32.573,14","21.560,81","17.788,85","19.494,29","37.582,25","1.310,53",-,"110.889,19","110.889,19","110.889,19","109.560,78","110.313,55","110.047,86","110.889,19","110.889,19","110.889,19","110.889,19",-,-
GENECIAS MATEUS NORONHA,M,58,31,3,0,0,0,13/03/1963,"182.956,80","1.012.113,82","33.763,00","6.912,14","17.143,52","35.003,95","19.477,71","26.327,99","14.497,11","13.104,39","10.260,84","26.907,04","13.322,11","0,00",-,"92.989,03","98.109,44","100.534,90","99.984,28","101.430,22","106.905,63","103.040,08","103.040,08","103.040,08","103.040,08",-,-
GELSON DE AZEVEDO ALMEIDA,M,88,0,4,17,0,13,10/01/1965,"320.500,73","1.112.585,65","33.763,00","17.208,87","18.142,04","73.589,54","60.671,30","23.955,82","21.380,73","24.088,36","10.719,92","15.215,86","4.613,07","50.915,22",-,"111.429,10","111.429,10","111.429,10","111.523,22","111.207,70","111.580,75","111.580,75","111.580,75","111.580,75","109.244,43",-,-
ELIÉSER GIRÃO MONTEIRO FILHO,M,85,4,3,47,3,6,08/05/1955,"363.091,99","1.114.542,85","33.763,00","37.148,25","58.184,62","39.315,76","45.230,05","43.316,28","37.619,01","23.969,66","26.317,64","11.257,52","39.833,77","899,43",-,"111.550,61","111.550,61","111.550,61","111.550,61","111.550,61","110.587,36","111.550,61","111.550,61","111.550,61","111.550,61",-,-
FERNANDO LÚCIO GIACOBO,M,86,1,5,13,1,7,17/12/1970,"369.972,81","1.096.371,61","33.763,00","27.455,42","49.074,18","58.575,31","52.242,70","7.832,83","38.497,82","8.820,58","6.333,82","4.309,92","66.740,23","50.090,00",-,"110.392,00","111.089,37","110.699,96","111.616,68","111.659,53","104.856,92","111.659,53","110.779,99","111.160,32","102.457,31",-,-
EUGENIO JOSÉ ZULIANI,M,51,17,24,9,17,37,13/01/1976,"286.007,56","1.080.042,52","33.763,00","35.715,90","40.468,18","42.837,22","63.995,25","40.713,17","18.553,55","16.151,75","15.973,11","2.755,29","8.115,64","728,50",-,"111.641,38","111.641,38","111.641,38","106.370,18","106.897,30","106.370,18","106.370,18","106.370,18","106.370,18","106.370,18",-,-
GERVÁSIO AGRIPINO MAIA,M,81,5,6,36,5,14,14/04/1975,"270.049,07","1.105.894,42","33.763,00","23.330,03","37.075,33","36.581,92","45.588,36","43.748,87","26.193,97","18.498,45","14.012,00","10.194,19","13.781,20","1.044,75",-,"111.615,50","110.598,88","110.561,62","109.955,04","110.298,77","109.955,04","110.552,62","111.283,45","110.263,58","110.809,92",-,-
ROBERTO SEBASTIÃO PETERNELLI JUNIOR,M,89,0,3,132,0,21,06/08/1954,"219.516,20","730.045,66","33.763,00","17.011,69","44.800,56","44.569,19","25.933,02","22.660,96","28.500,81","13.743,54","9.053,72","5.578,56","7.617,80","46,35",-,"67.824,41","70.484,71","70.484,71","79.446,76","74.499,52","86.394,48","95.109,95","76.397,80","54.701,66","54.701,66",-,-
GILLIANO FRED NASCIMENTO CUTRIM,M,76,5,11,22,4,27,26/10/1979,"406.001,14","1.115.308,02","33.763,00","46.898,79","47.176,96","48.122,54","58.582,87","51.226,09","18.377,58","25.986,45","21.934,68","12.653,68","75.041,50","0,00",-,"111.301,75","111.301,75","111.619,50","111.641,41","111.641,41","111.641,41","111.641,41","111.641,41","111.641,41","111.236,56",-,-
GIOVANI CHERINI,M,86,3,3,40,3,13,23/06/1960,"419.082,83","1.114.323,38","33.763,00","35.135,42","42.357,46","49.953,41","53.766,31","49.975,70","54.876,19","39.994,44","42.715,35","21.531,51","27.017,18","1.759,86",-,"111.574,70","111.574,70","111.574,70","111.574,70","111.574,70","110.520,47","111.205,28","111.574,71","111.574,71","111.574,71",-,-
GILBERTO APARECIDO ABRAMO,M,85,2,5,19,1,6,06/08/1966,"276.601,65","1.077.796,52","33.763,00","18.146,52","22.003,33","27.404,71","32.718,06","34.209,75","23.558,03","15.039,80","18.280,76","12.603,88","12.846,34","59.790,47",-,"106.564,34","106.564,34","107.092,65","108.384,08","108.384,08","108.384,08","107.270,71","108.384,08","108.384,08","108.384,08",-,-
GILBERTO NASCIMENTO SILVA,M,65,27,0,29,3,9,09/07/1956,"404.619,88","1.077.002,90","33.763,00","42.667,83","49.626,23","52.149,16","41.954,56","48.827,83","33.307,84","45.287,25","30.344,91","25.638,80","28.819,14","5.996,33",-,"110.917,37","111.198,75","111.198,75","106.097,59","111.198,75","109.244,31","100.666,68","106.570,48","106.570,48","103.339,74",-,-
DANIEL COSTA DE FREITAS,M,77,0,15,3,0,0,03/04/1982,"305.465,83","1.099.503,46","33.763,00","38.606,89","24.248,40","43.103,43","45.138,90","47.999,13","30.847,10","32.894,95","25.917,35","4.096,46","12.109,81","503,41",-,"105.697,03","105.697,03","109.243,35","110.933,95","110.816,55","111.423,11","111.423,11","111.423,11","111.423,11","111.423,11",-,-
GILSON MARQUES VIEIRA,M,88,4,0,40,5,5,12/04/1981,"50.883,26","798.657,16","33.763,00","3.483,84","5.736,09","5.095,21","11.767,82","6.494,69","7.335,78","6.816,37","1.383,89","3,11","2.766,46","0,00",-,"78.079,20","78.079,20","78.079,20","80.772,44","79.784,92","80.772,44","80.772,44","80.772,44","80.772,44","80.772,44",-,-
GIOVANI BATISTA FELTES,M,91,0,1,18,0,4,10/04/1957,"296.462,55","1.095.245,29","33.763,00","32.091,85","37.369,29","35.989,03","29.111,39","63.623,79","20.875,74","31.955,95","26.391,45","8.680,69","8.989,17","1.384,20",-,"111.083,28","111.101,04","111.544,86","108.521,73","109.378,77","109.627,69","107.747,07","108.089,89","109.075,48","109.075,48",-,-
DANIEL PIRES COELHO,M,91,0,1,6,0,0,04/11/1978,"360.896,58","1.114.987,92","33.763,00","56.899,01","47.545,19","51.524,56","36.128,30","44.454,63","30.323,85","32.107,75","22.965,49","20.599,99","18.151,21","196,60",-,"111.319,00","111.580,81","111.580,81","111.332,51","111.580,81","111.580,82","111.559,70","111.471,69","111.474,71","111.507,06",-,-
DANIEL GOMES DE ALMEIDA,M,90,2,0,38,0,37,21/01/1955,"356.199,86","1.116.596,10","33.763,00","58.756,35","47.548,42","45.375,86","32.596,32","51.389,18","29.676,29","18.598,64","16.188,74","14.756,90","40.472,41","840,75",-,"111.659,61","111.659,61","111.659,61","111.659,61","111.659,61","111.659,61","111.659,61","111.659,61","111.659,61","111.659,61",-,-
DANIEL LUCIO DA SILVEIRA,M,89,1,2,87,1,58,25/11/1982,"307.400,84","1.050.905,67","33.763,00","35.637,58","37.560,86","37.098,84","39.709,62","37.913,96","33.297,09","28.745,65","27.784,42","13.563,62","14.939,77","1.149,43",-,"104.730,18","106.558,15","108.774,14","105.193,39","109.706,94","103.433,49","86.143,80","107.120,36","107.862,35","111.382,87",-,-
DANIEL TRZECIAK DUARTE,M,86,6,0,31,8,6,04/11/1986,"214.073,24","1.044.495,31","33.763,00","9.307,83","15.955,97","16.366,04","18.241,57","39.352,32","20.817,46","28.100,30","16.051,09","16.840,25","32.070,78","969,63",-,"105.455,53","105.415,99","105.436,13","108.226,36","105.982,05","109.497,39","106.036,48","94.998,83","99.412,79","104.033,76",-,-
DARCI DE MATOS,M,80,2,10,55,3,9,08/11/1961,"269.534,87","1.112.429,82","33.763,00","27.456,09","37.612,31","41.962,71","42.279,75","38.942,67","18.366,03","26.329,15","14.161,38","1.290,05","20.268,72","866,01",-,"111.593,97","111.623,31","111.579,26","111.659,67","111.659,67","110.174,35","110.543,76","111.508,04","111.508,04","110.579,75",-,-
DANRLEI DE DEUS HINTERHOLZ,M,50,7,11,17,9,27,18/04/1973,"219.897,65","702.641,09","33.763,00",-,-,"0,00","38.636,46","39.413,57","43.580,07","37.837,68","23.198,87","20.183,29","17.047,71","0,00",-,"0,00","0,00","3.313,89","92.253,84","88.602,16","99.507,11","95.073,08","107.705,84","108.196,00","107.989,17",-,-
DAVID MICHAEL DOS SANTOS MIRANDA,M,66,15,11,23,4,7,10/05/1985,"242.667,95","937.841,64","33.763,00","35.259,28","43.349,65","32.853,62","29.890,05","45.091,15","33.147,86","10.128,77","8.151,54","-817,25","5.613,28","0,00",-,"111.544,37","111.544,37","56.799,55","100.004,66","64.345,04","94.914,31","97.663,21","102.324,88","100.368,27","98.332,98",-,-
DANILO JORGE DE BARROS CABRAL,M,83,3,6,8,6,22,21/04/1967,"287.464,54","1.005.945,69","33.763,00","23.243,32","23.195,87","25.003,47","49.445,71","45.722,17","26.152,01","32.469,21","12.877,47","8.866,71","39.648,42","840,18",-,"95.045,26","95.045,26","94.090,38","99.861,52","98.095,56","99.861,52","100.443,65","100.923,05","111.114,04","111.465,45",-,-
FRANCISCO DANILO BASTOS FORTE,M,86,3,3,42,2,21,01/09/1958,"399.293,34","1.052.260,59","33.763,00","67.906,91","48.807,99","40.578,79","80.716,86","52.959,10","57.550,28","22.707,17","9.622,62","6.546,36","11.778,36","118,90",-,"109.573,04","105.109,88","101.753,78","108.735,93","107.930,59","108.600,66","101.671,79","104.239,59","101.843,93","102.801,40",-,-
DAVID BEZERRA RIBEIRO SOARES,M,63,11,3,47,12,1,21/12/1973,"183.939,37","1.068.591,77","33.763,00",-,-,"31.858,14","29.111,16","35.507,14","37.770,69","23.083,39","13.606,57","7.900,18","4.802,08","300,02",-,"103.135,91","105.402,63","105.964,51","107.637,25","99.800,43","108.516,33","107.977,68","108.297,02","111.277,52","110.582,49",-,-
ANTÔNIO DA LUZ FURTADO,M,90,1,1,73,6,19,06/01/1972,"288.816,41","1.115.182,54","33.763,00","34.263,89","43.088,49","42.959,20","47.359,21","32.920,98","16.303,12","19.852,22","12.243,23","8.092,66","27.244,72","4.488,69",-,"110.967,56","111.125,87","111.617,20","111.617,20","111.617,20","111.623,07","111.653,61","111.653,61","111.653,61","111.653,61",-,-
EDER MAURO CARDOSO BARRA,M,79,3,10,4,0,12,14/12/1960,"325.195,22","1.101.131,44","33.763,00","46.351,28","56.697,20","17.871,34","52.104,65","52.514,33","51.446,49","39.019,70","6.514,58","2.675,65","0,00","0,00",-,"111.587,65","111.029,67","109.774,54","111.611,12","111.611,12","111.168,32","110.779,91","107.856,37","107.856,37","107.856,37",-,-
MARCELO EDUARDO FREITAS,M,80,6,6,66,1,1,04/03/1976,"290.526,28","1.067.668,96","33.763,00","31.421,05","43.796,10","37.148,52","39.348,34","24.745,40","29.355,58","26.303,93","19.417,00","19.550,28","18.633,84","806,24",-,"104.088,18","105.813,10","103.290,21","110.724,59","102.664,07","111.483,80","111.483,80","107.272,97","107.289,51","103.558,73",-,-
PABLO OLIVA SOUZA,M,78,0,14,112,0,30,26/07/1976,"369.191,63","977.905,08","33.763,00","28.267,00","51.491,99","65.512,79","41.341,87","64.732,08","31.189,75","32.398,76","26.832,20","17.440,00","7.823,37","2.161,82",-,"99.985,47","73.344,51","92.308,59","106.315,17","99.950,28","106.987,85","101.323,39","101.342,41","107.310,62","89.036,79",-,-
WALDIR SOARES DE OLIVEIRA,M,86,6,0,7,5,44,28/11/1962,"149.309,65","987.728,92","33.763,00","14.119,59","16.610,96","17.642,50","17.514,69","17.254,73","15.282,52","15.088,53","12.955,79","10.015,33","11.921,51","903,50",-,"101.978,63","99.618,58","96.319,60","92.534,14","92.534,14","94.998,88","101.543,63","103.436,75","102.749,57","102.015,00",-,-
DIEGO LEONARDO DE ANDRADE CARVALHO,M,70,22,0,7,11,9,08/08/1977,"217.838,28","1.109.625,13","33.763,00","28.386,47","32.013,45","32.859,73","41.393,91","17.554,55","15.224,17","22.079,82","8.663,35","11.458,92","8.203,91","0,00",-,"111.580,82","111.580,82","111.580,82","111.580,82","111.580,82","111.535,53","111.241,15","110.635,35","109.154,50","109.154,50",-,-
DIMAS FABIANO TOLEDO JÚNIOR,M,86,5,1,18,3,1,23/05/1973,"283.523,77","965.287,10","33.763,00","30.575,40","29.897,78","36.489,01","34.645,39","37.782,58","23.877,46","33.775,98","26.291,36","16.347,48","12.634,33","1.207,00",-,"92.717,74","90.647,71","88.844,00","93.796,44","89.894,36","94.254,41","100.197,24","96.972,36","108.044,05","109.918,79",-,-
DENIS ANDERSON DA ROCHA BEZERRA,M,88,1,3,70,1,9,17/03/1980,"400.260,91","1.078.559,49","33.763,00","46.094,78","53.674,69","52.475,51","40.861,85","52.185,85","33.475,40","24.901,37","18.145,39","17.544,23","44.329,57","16.572,27",-,"110.743,73","108.800,92","108.144,99","106.327,19","106.767,55","107.307,01","102.136,31","107.474,82","111.617,19","109.239,78",-,-
DIEGO ALEXSANDER GONCALO PAULA GARCIA,M,89,3,0,134,3,43,10/10/1984,"263.861,19","916.158,19","33.763,00","9.153,29","13.917,88","34.960,78","47.847,45","39.069,90","36.301,69","32.663,59","20.367,53","6.819,55","16.986,39","5.773,14",-,"93.054,98","91.310,31","97.522,54","96.593,67","98.459,58","96.173,37","99.859,25","84.300,62","79.772,64","79.111,23",-,-
LUIZ ANTONIO DE SOUZA TEIXEIRA JÚNIOR,M,67,0,25,14,0,22,15/12/1973,"266.546,32","1.074.387,81","33.763,00","27.501,17","33.784,37","41.465,77","38.833,58","43.233,68","24.163,31","23.117,56","18.685,19","10.202,91","5.508,98","49,80",-,"97.653,62","97.653,62","108.819,42","110.434,31","110.434,31","110.434,31","110.434,31","110.413,15","111.647,44","106.463,32",-,-
DOMINGOS GOMES DE AGUIAR NETO,M,79,6,7,30,6,25,29/04/1988,"346.157,45","1.105.842,15","33.763,00","33.731,48","52.313,10","36.169,17","77.719,59","53.317,93","22.751,47","19.502,64","3.346,59","2.837,01","44.468,47","0,00",-,"111.544,43","111.544,43","110.497,19","111.235,68","107.599,23","111.617,24","111.617,24","111.617,24","111.617,24","106.952,23",-,-
DOMINGOS SÁVIO CAMPOS RESENDE,M,87,3,2,29,1,6,25/03/1957,"311.182,97","1.108.990,28","33.763,00","24.341,19","52.616,35","44.927,02","48.074,76","32.735,37","26.928,66","27.300,43","24.815,98","18.843,40","9.599,00","1.000,81",-,"109.833,82","109.833,82","111.183,95","110.747,01","111.653,56","110.990,37","111.313,88","110.806,11","111.313,88","111.313,88",-,-
JAZIEL PEREIRA DE SOUSA,M,69,3,20,12,1,26,03/05/1961,"332.318,98","1.115.897,66","33.763,00","53.231,07","44.873,85","55.545,89","35.377,77","35.428,27","36.517,71","20.837,34","20.773,89","21.505,53","8.227,66","0,00",-,"111.279,95","111.565,34","111.653,51","111.653,51","111.653,51","111.477,80","111.653,51","111.653,51","111.653,51","111.653,51",-,-
LEONARDO RIBEIRO ALBUQUERQUE,M,91,0,1,27,1,2,14/06/1978,"319.714,69","1.047.250,04","33.763,00","42.371,40","36.053,31","44.978,86","41.703,89","51.992,40","36.956,95","29.525,44","11.128,25","9.478,35","15.240,77","285,07",-,"99.981,22","100.959,57","99.231,78","104.982,41","108.961,58","110.759,92","111.287,34","105.356,57","102.212,41","103.517,24",-,-
FREDERICO DE CASTRO ESCALEIRA,M,83,0,9,24,0,57,24/03/1977,"310.970,98","1.106.826,40","33.763,00","31.170,62","36.914,75","42.269,93","42.514,00","38.087,59","33.769,22","28.862,16","24.728,50","11.486,99","20.931,45","235,77",-,"111.212,41","111.201,53","110.944,53","111.313,96","108.641,77","110.772,89","111.313,96","110.891,90","111.313,96","109.219,49",-,-
LUIZ ALBERTO OVANDO,M,86,5,1,70,0,12,25/09/1949,"353.911,42","973.451,59","33.763,00","40.038,05","41.231,34","52.947,39","47.335,38","46.480,82","30.870,88","29.474,27","27.038,62","21.752,29","13.797,33","2.945,05",-,"96.640,72","96.640,72","97.315,81","97.550,62","97.550,62","97.550,62","97.550,62","97.550,62","97.550,62","97.550,62",-,-
ZACARIAS CALIL HAMU,M,82,10,0,85,8,27,05/11/1953,"227.743,53","806.210,41","33.763,00","25.614,66","32.870,88","33.504,56","32.600,29","32.975,66","18.394,14","17.770,75","7.364,25","5.479,94","20.331,91","836,49",-,"83.672,50","77.891,18","81.413,26","83.956,98","83.956,98","83.754,79","77.891,18","77.891,18","77.891,18","77.891,18",-,-
EDILAZIO GOMES DA SILVA JUNIOR,M,87,5,0,12,1,0,04/05/1981,"274.890,22","1.113.908,02","33.763,00","29.645,70","67.991,37","21.709,65","19.692,50","54.054,00","28.378,82","18.023,27","5.308,77","14.235,23","15.850,91","0,00",-,"111.402,54","111.185,22","111.659,65","111.659,65","111.166,30","111.659,65","111.659,65","110.963,46","111.241,12","111.310,78",-,-
ÉDIO VIEIRA LOPES,M,71,5,16,18,2,5,04/01/1952,"352.768,46","1.109.839,83","33.763,00","42.432,81","39.836,40","47.117,63","97.784,62","54.268,93","14.519,68","22.739,81","16.900,14","1.349,74","15.390,97","427,73",-,"110.495,02","110.495,02","111.469,88","111.368,53","111.408,97","111.370,96","111.441,31","111.441,31","111.441,31","108.907,52",-,-
EDUARDO LUIZ BARROS BARBOSA,M,92,0,0,91,0,17,25/08/1958,"247.845,06","1.114.565,19","33.763,00","22.913,32","25.992,80","30.951,65","34.686,06","37.263,00","29.255,32","23.832,28","9.244,83","5.608,98","27.466,51","630,31",-,"111.453,35","111.453,35","111.453,35","111.453,35","111.453,35","111.453,35","111.453,35","111.453,35","111.453,35","111.485,04",-,-
EDUARDO NANTES BOLSONARO,M,76,14,2,27,6,12,10/07/1984,"290.688,80","1.098.174,63","33.763,00","19.129,11","45.801,56","20.862,74","20.812,35","34.033,24","36.151,56","54.678,40","29.120,22","20.452,30","9.195,67","451,65",-,"111.598,86","111.533,88","111.447,23","109.360,58","111.308,14","109.301,13","107.577,22","107.577,22","108.466,86","110.003,51",-,-
EDUARDO HENRIQUE MAIA BISMARCK,M,81,11,0,72,7,9,14/11/1981,"387.671,83","1.081.811,75","33.763,00","42.771,78","48.433,07","53.046,89","53.171,37","40.615,87","35.061,57","49.986,03","24.512,53","5.591,91","32.141,23","2.339,58",-,"108.439,60","100.116,32","102.925,37","109.885,00","105.453,61","110.998,37","110.998,37","110.998,37","110.998,37","110.998,37",-,-
JOSE EDUARDO PEREIRA DA COSTA,M,83,9,0,10,6,9,16/02/1968,"333.478,23","1.112.028,74","33.763,00","37.602,77","29.483,97","45.130,56","64.988,16","42.628,52","22.063,45","21.894,85","13.694,30","16.136,05","37.509,90","2.345,70",-,"111.313,96","111.313,96","111.421,78","111.429,22","111.429,22","111.429,22","111.429,22","110.376,50","111.374,63","110.511,03",-,-
EDUARDO PEDROSA CURY,M,88,3,1,73,1,3,19/09/1963,"331.285,52","989.725,85","33.763,00","44.245,79","43.411,00","38.868,35","38.316,02","28.628,41","37.405,99","32.488,40","25.399,98","15.738,89","25.605,38","1.177,31",-,"101.582,78","92.109,71","91.148,77","98.965,06","97.477,96","103.240,48","98.460,60","98.460,60","98.460,60","109.819,29",-,-
EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA,M,84,3,5,2,1,40,17/10/1972,"329.401,10","1.055.312,52","33.763,00","34.083,35","42.566,48","45.258,71","46.806,07","48.013,04","25.355,86","21.639,01","25.533,18","16.566,48","23.578,92","0,00",-,"110.448,12","108.787,76","97.120,73","105.204,32","102.047,21","111.471,69","102.622,24","103.739,73","108.433,33","105.437,39",-,-
EFRAIM DE ARAÚJO MORAIS FILHO,M,73,9,10,6,5,14,18/03/1979,"265.206,49","1.115.589,62","33.763,00","31.920,25","54.289,28","52.463,46","42.763,10","51.650,40","7.412,58","9.627,39","8.755,96","1,36","5.893,42","429,29",-,"111.148,60","111.617,23","111.617,23","111.617,23","111.617,23","111.617,23","111.617,23","111.617,23","111.575,98","111.544,43",-,-
ELI DIAS BORGES,M,81,0,11,6,0,11,01/09/1960,"389.429,95","1.104.364,78","33.763,00","31.188,98","46.066,46","51.592,15","48.724,20","46.239,19","43.313,71","41.770,08","35.826,39","32.575,57","10.263,37","1.869,85",-,"111.130,49","111.392,69","111.205,19","110.064,23","108.796,48","111.248,28","109.041,83","110.416,27","110.246,84","110.822,48",-,-
ELIAS VAZ DE ANDRADE,M,82,9,1,81,5,14,04/07/1966,"167.084,01","1.074.212,44","33.763,00","15.838,58","26.200,21","25.592,46","27.596,14","27.999,68","12.853,99","11.787,89","3.017,22","323,45","15.362,24","512,15",-,"105.866,83","105.866,83","104.555,04","106.630,73","105.866,83","108.826,95","108.826,95","108.826,95","108.826,95","110.118,38",-,-
ADRIANO ELI CORRÊA,M,82,0,10,42,0,27,13/01/1976,"265.305,28","1.048.068,72","33.763,00","22.593,30","23.225,37","28.285,66","56.126,53","57.687,80","30.297,57","22.196,45","6.522,28","421,69","17.948,63","0,00",-,"105.205,60","105.205,60","105.205,60","101.881,14","105.205,60","104.761,01","106.115,52","106.115,52","106.115,52","102.257,61",-,-
ELMAR JOSE VIEIRA NASCIMENTO,M,68,24,0,1,0,0,06/07/1970,"401.079,82","1.088.843,14","33.763,00","11.585,43","41.325,81","49.088,47","42.793,20","60.314,77","47.062,33","37.636,26","47.299,08","35.534,24","28.440,23","0,00",-,"111.611,09","111.611,09","111.611,09","111.611,09","111.095,09","110.283,89","98.339,09","103.946,26","108.324,61","110.409,84",-,-
ENIO JOSÉ VERRI,M,89,2,1,32,0,4,27/03/1961,"350.522,15","1.111.367,61","33.763,00","38.190,58","37.467,64","68.879,63","43.960,07","38.986,43","29.704,02","25.886,97","22.258,37","24.764,98","20.363,46","60,00",-,"111.398,83","111.398,83","111.398,83","110.749,59","110.220,44","110.538,29","111.455,18","110.876,18","111.665,72","111.665,72",-,-
EMIDIO ALVES MADEIRA JUNIOR,M,80,12,0,16,4,2,10/03/1967,"300.056,22","1.114.845,39","33.763,00","56.761,57","45.061,77","39.330,09","44.434,07","32.196,96","26.760,94","20.847,93","15.245,77","11.938,26","7.418,86","60,00",-,"110.980,22","110.980,22","111.528,12","111.623,22","111.617,15","111.623,22","111.623,28","111.623,32","111.623,32","111.623,32",-,-
EMANUEL PINHEIRO DA SILVA PRIMO,M,70,3,19,11,1,7,05/01/1995,"260.989,20","1.067.534,67","33.763,00","18.918,90","40.897,04","43.529,50","34.158,66","29.158,03","52.895,35","15.688,43","14.630,60","825,90","6.028,96","4.257,83",-,"108.820,92","109.941,35","111.435,25","110.245,56","111.435,25","109.803,54","108.192,76","97.773,24","100.583,45","99.303,35",-,-
ENRICO VAN BLARCUM DE GRAAFF MISASI,M,87,0,5,43,0,21,06/08/1994,"323.053,98","1.106.991,70","33.763,00","24.947,21","28.095,55","42.425,59","54.222,55","43.740,70","37.817,19","41.206,87","22.642,88","16.871,36","11.025,61","58,47",-,"111.586,88","111.302,18","110.816,09","110.974,20","106.788,80","110.159,38","111.013,37","111.312,77","111.544,46","111.493,57",-,-
EUCLYDES MARCOS PETTERSEN NETO,M,77,14,1,6,6,13,15/08/1984,"239.749,55","1.102.008,88","33.763,00","39.458,55","34.224,98","28.593,33","35.945,83","36.303,64","21.880,35","11.556,55","10.510,19","6.865,31","11.508,98","2.901,84",-,"101.942,13","110.241,46","111.623,19","111.623,22","111.623,22","110.951,73","109.856,30","110.901,19","111.623,22","111.623,22",-,-
EVAIR VIEIRA DE MELO,M,87,3,2,67,1,4,02/04/1972,"316.638,70","1.096.962,77","33.763,00","38.264,38","46.197,13","62.458,72","43.315,06","38.441,09","24.394,91","23.069,95","14.844,44","2.615,55","22.921,21","116,26",-,"106.904,01","110.527,26","107.201,84","108.042,26","107.178,21","111.172,72","111.328,33","111.555,88","111.526,13","111.526,13",-,-
EROS FERREIRA BIONDINI,M,88,4,0,33,1,14,20/05/1971,"281.611,85","836.020,40","33.763,00","22.401,97","30.438,97","33.405,69","36.712,77","31.526,03","29.487,20","35.290,07","20.709,20","17.992,30","21.750,88","1.896,77",-,"90.223,04","90.223,04","86.035,27","79.786,71","78.682,22","78.922,44","78.922,44","79.682,04","86.771,60","86.771,60",-,-
EXPEDITO GONCALVES FERREIRA NETTO,M,82,9,1,2,3,16,05/10/1988,"222.912,39","1.099.381,29","33.763,00","14.767,54","30.093,83","33.348,33","25.416,15","30.510,09","18.925,02","27.570,19","12.641,28","1.388,85","26.729,31","1.521,80",-,"111.544,33","111.544,33","111.544,33","111.539,45","111.529,16","111.100,52","109.785,83","109.894,82","110.132,19","100.766,33",-,-
FABIO HENRIQUE SANTANA DE CARVALHO,M,90,0,2,75,0,22,19/06/1972,"393.613,32","1.103.960,07","33.763,00","40.955,79","38.278,23","46.688,34","51.837,95","53.420,14","35.534,63","55.589,55","49.846,87","10.956,64","10.467,67","37,51",-,"110.763,22","111.436,47","110.870,47","109.456,57","105.066,49","110.377,32","111.465,54","111.465,54","111.465,54","111.592,91",-,-
FABIO CRUZ MITIDIERI,M,54,10,8,17,8,19,24/02/1977,"227.041,28","1.085.769,32","33.763,00","35.258,61","43.620,72","33.042,39","45.112,33","44.648,72","24.812,68","545,83",-,-,-,"0,00",-,"109.876,31","106.389,76","109.876,31","109.876,31","109.876,31","107.693,02","97.566,52","111.538,26","111.538,26","111.538,26",-,-
FÁBIO RICARDO TRAD,M,90,1,1,88,0,3,18/08/1969,"152.333,76","1.112.229,14","33.763,00","9.479,45","21.339,35","11.214,78","25.209,13","41.034,10","12.053,32","5.465,70","14.089,48","2.400,90","10.011,50","36,05",-,"111.501,88","111.501,88","111.501,88","111.501,88","111.324,76","111.501,88","111.501,88","111.501,88","110.217,75","110.173,47",-,-
